level_0,level_1,Non-satisfaction,Satisfaction,Statistics
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.0,8 (88.89%),1 (11.11%),"$\chi^2$=3104.41, $p$=0.00"
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.1,27 (84.38%),5 (15.62%),
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.2,56 (84.85%),10 (15.15%),
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.30000000000000004,158 (85.41%),27 (14.59%),
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.4,247 (84.30%),46 (15.70%),
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.5,1122 (72.20%),432 (27.80%),
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.6000000000000001,1336 (59.64%),904 (40.36%),
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.7000000000000001,1036 (28.18%),2641 (71.82%),
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.8,531 (15.36%),2925 (84.64%),
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.9,57 (6.57%),811 (93.43%),
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,1.0,14 (10.45%),120 (89.55%),
학습 지향 평균,0.3125,163 (99.39%),1 (0.61%),"$\chi^2$=2592.87, $p$=0.00"
학습 지향 평균,0.375,254 (95.85%),11 (4.15%),
학습 지향 평균,0.4375,428 (93.65%),29 (6.35%),
학습 지향 평균,0.5,601 (81.11%),140 (18.89%),
학습 지향 평균,0.5625,484 (46.90%),548 (53.10%),
학습 지향 평균,0.625,479 (35.27%),879 (64.73%),
학습 지향 평균,0.6875,528 (28.31%),1337 (71.69%),
학습 지향 평균,0.75,611 (25.79%),1758 (74.21%),
학습 지향 평균,0.8125,451 (21.29%),1667 (78.71%),
학습 지향 평균,0.875,243 (22.77%),824 (77.23%),
학습 지향 평균,0.9375,124 (22.50%),427 (77.50%),
학습 지향 평균,1.0,71 (19.09%),301 (80.91%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.0,1343 (48.59%),1421 (51.41%),"$\chi^2$=2380.21, $p$=0.00"
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.03225806451612903,2358 (60.88%),1515 (39.12%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.0967741935483871,2 (22.22%),7 (77.78%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.12903225806451613,1 (12.50%),7 (87.50%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.16129032258064516,2 (28.57%),5 (71.43%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.1935483870967742,5 (20.83%),19 (79.17%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.22580645161290322,6 (18.75%),26 (81.25%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.25806451612903225,11 (39.29%),17 (60.71%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.29032258064516125,8 (22.86%),27 (77.14%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.32258064516129026,1 (9.09%),10 (90.91%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.3548387096774194,3 (50.00%),3 (50.00%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.3870967741935484,11 (45.83%),13 (54.17%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.4193548387096774,51 (21.16%),190 (78.84%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.4516129032258064,61 (26.41%),170 (73.59%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.4838709677419355,101 (18.77%),437 (81.23%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.5161290322580645,11 (16.67%),55 (83.33%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.5483870967741935,22 (15.83%),117 (84.17%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.5806451612903225,19 (8.76%),198 (91.24%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.6129032258064515,53 (15.14%),297 (84.86%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.6451612903225806,39 (13.68%),246 (86.32%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.6774193548387096,32 (18.50%),141 (81.50%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.7096774193548386,10 (12.35%),71 (87.65%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.7419354838709677,24 (13.26%),157 (86.74%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.7741935483870968,61 (14.77%),352 (85.23%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.8064516129032258,77 (16.78%),382 (83.22%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.8387096774193548,81 (14.78%),467 (85.22%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.8709677419354838,47 (8.47%),508 (91.53%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.9032258064516129,142 (12.27%),1015 (87.73%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.9354838709677419,4 (14.29%),24 (85.71%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.9677419354838709,2 (13.33%),13 (86.67%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,1.0,4 (25.00%),12 (75.00%),
