level_0,level_1,Non-satisfaction,Satisfaction,Statistics
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.0,10 (58.82%),7 (41.18%),"$\chi^2$=3395.83, $p$=0.00"
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.1111111111111111,36 (85.71%),6 (14.29%),
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.2222222222222222,145 (88.96%),18 (11.04%),
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.3333333333333333,324 (92.31%),27 (7.69%),
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.4444444444444445,1218 (83.03%),249 (16.97%),
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.5555555555555556,1651 (75.01%),550 (24.99%),
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.6666666666666665,1650 (50.55%),1614 (49.45%),
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.7777777777777777,578 (19.81%),2340 (80.19%),
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.8888888888888888,49 (5.88%),784 (94.12%),
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,1.0,2 (1.56%),126 (98.44%),
문E1-4) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 다른 사람들과 함께 공부 하는 것이 좋다.,0.0,442 (80.07%),110 (19.93%),"$\chi^2$=2213.03, $p$=0.00"
문E1-4) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 다른 사람들과 함께 공부 하는 것이 좋다.,0.25,2016 (70.34%),850 (29.66%),
문E1-4) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 다른 사람들과 함께 공부 하는 것이 좋다.,0.5,2457 (58.26%),1760 (41.74%),
문E1-4) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 다른 사람들과 함께 공부 하는 것이 좋다.,0.75,728 (22.81%),2464 (77.19%),
문E1-4) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 다른 사람들과 함께 공부 하는 것이 좋다.,1.0,20 (3.59%),537 (96.41%),
문D1) 귀하께서는 작년에 평생교육 프로그램 관련 정보를 접한 적이 있습니까?,0.0,4416 (65.66%),2310 (34.34%),"$\chi^2$=1662.95, $p$=0.00"
문D1) 귀하께서는 작년에 평생교육 프로그램 관련 정보를 접한 적이 있습니까?,1.0,1247 (26.77%),3411 (73.23%),
학습 지향 평균,0.1875,1 (50.00%),1 (50.00%),"$\chi^2$=1545.11, $p$=0.00"
학습 지향 평균,0.3125,16 (72.73%),6 (27.27%),
학습 지향 평균,0.375,25 (69.44%),11 (30.56%),
학습 지향 평균,0.4375,115 (79.86%),29 (20.14%),
학습 지향 평균,0.5,201 (69.55%),88 (30.45%),
학습 지향 평균,0.5625,152 (42.70%),204 (57.30%),
학습 지향 평균,0.625,212 (32.22%),446 (67.78%),
학습 지향 평균,0.6875,202 (20.40%),788 (79.60%),
학습 지향 평균,0.75,231 (16.08%),1206 (83.92%),
학습 지향 평균,0.8125,92 (6.43%),1339 (93.57%),
학습 지향 평균,0.875,46 (5.61%),774 (94.39%),
학습 지향 평균,0.9375,13 (2.62%),483 (97.38%),
학습 지향 평균,1.0,12 (3.35%),346 (96.65%),
문E1-1) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 책이나 판서 수업 중심으로 공부하는 것이 익숙하고 잘된다.,0.0,315 (67.60%),151 (32.40%),"$\chi^2$=1488.01, $p$=0.00"
문E1-1) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 책이나 판서 수업 중심으로 공부하는 것이 익숙하고 잘된다.,0.25,1590 (68.80%),721 (31.20%),
문E1-1) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 책이나 판서 수업 중심으로 공부하는 것이 익숙하고 잘된다.,0.5,2496 (60.17%),1652 (39.83%),
문E1-1) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 책이나 판서 수업 중심으로 공부하는 것이 익숙하고 잘된다.,0.75,1207 (31.07%),2678 (68.93%),
문E1-1) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 책이나 판서 수업 중심으로 공부하는 것이 익숙하고 잘된다.,1.0,55 (9.58%),519 (90.42%),
문F1-4) 다음 학습 관련 질문에 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__직장에서 필요로 하는 기술을 학교에서는 배울 수 없다.,0.0,268 (65.69%),140 (34.31%),"$\chi^2$=1486.87, $p$=0.00"
문F1-4) 다음 학습 관련 질문에 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__직장에서 필요로 하는 기술을 학교에서는 배울 수 없다.,0.25,1287 (62.90%),759 (37.10%),
문F1-4) 다음 학습 관련 질문에 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__직장에서 필요로 하는 기술을 학교에서는 배울 수 없다.,0.5,2707 (64.25%),1506 (35.75%),
문F1-4) 다음 학습 관련 질문에 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__직장에서 필요로 하는 기술을 학교에서는 배울 수 없다.,0.75,1306 (34.80%),2447 (65.20%),
문F1-4) 다음 학습 관련 질문에 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__직장에서 필요로 하는 기술을 학교에서는 배울 수 없다.,1.0,95 (9.85%),869 (90.15%),
지역규모별,0.0,1506 (61.19%),955 (38.81%),"$\chi^2$=1277.05, $p$=0.00"
지역규모별,0.5,3330 (60.50%),2174 (39.50%),
지역규모별,1.0,827 (24.19%),2592 (75.81%),
문E1-2) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 인터넷강의 또는 컴퓨터(전자책^ 태블릿 PC^스마트폰)를 활용한 학습이 익숙하고 잘된다.,0.0,878 (65.09%),471 (34.91%),"$\chi^2$=1213.32, $p$=0.00"
문E1-2) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 인터넷강의 또는 컴퓨터(전자책^ 태블릿 PC^스마트폰)를 활용한 학습이 익숙하고 잘된다.,0.25,1623 (63.92%),916 (36.08%),
문E1-2) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 인터넷강의 또는 컴퓨터(전자책^ 태블릿 PC^스마트폰)를 활용한 학습이 익숙하고 잘된다.,0.5,1881 (56.98%),1420 (43.02%),
문E1-2) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 인터넷강의 또는 컴퓨터(전자책^ 태블릿 PC^스마트폰)를 활용한 학습이 익숙하고 잘된다.,0.75,1168 (36.55%),2028 (63.45%),
문E1-2) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 인터넷강의 또는 컴퓨터(전자책^ 태블릿 PC^스마트폰)를 활용한 학습이 익숙하고 잘된다.,1.0,113 (11.31%),886 (88.69%),
문E1-3) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 혼자서 공부하는 것이 익숙하고 좋다.,0.0,468 (65.27%),249 (34.73%),"$\chi^2$=1209.01, $p$=0.00"
문E1-3) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 혼자서 공부하는 것이 익숙하고 좋다.,0.25,1811 (64.45%),999 (35.55%),
문E1-3) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 혼자서 공부하는 것이 익숙하고 좋다.,0.5,2326 (57.21%),1740 (42.79%),
문E1-3) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 혼자서 공부하는 것이 익숙하고 좋다.,0.75,1003 (30.97%),2236 (69.03%),
문E1-3) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 혼자서 공부하는 것이 익숙하고 좋다.,1.0,55 (9.96%),497 (90.04%),
문C2) 귀하께서는 작년(교육이나 학습 프로그램의 참여여부와 관계없이)에 참여하고 싶었지만 참여하지 못했던 평생교육 프로그램이 있었습니까?,0.0,5221 (58.16%),3756 (41.84%),"$\chi^2$=1200.88, $p$=0.00"
문C2) 귀하께서는 작년(교육이나 학습 프로그램의 참여여부와 관계없이)에 참여하고 싶었지만 참여하지 못했던 평생교육 프로그램이 있었습니까?,1.0,442 (18.36%),1965 (81.64%),
문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,0.0,1944 (49.17%),2010 (50.83%),"$\chi^2$=1134.02, $p$=0.00"
문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,0.0125,42 (15.91%),222 (84.09%),
문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,0.025,323 (25.63%),937 (74.37%),
문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,0.037500000000000006,158 (18.83%),681 (81.17%),
