Feature,Interaction Features,Contribution Importance
학습 지향 평균,문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,0.032147996078497755
학습 지향 평균,문A3-9) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__친목도모 증진,0.028214905901443276
학습 지향 평균,문A3-8) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__사회참여,-0.013886500150018527
학습 지향 평균,직업관련 목표지향 평균,-0.009734376838010764
학습 지향 평균,문A3-2) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__심리적 만족 및 행복감 증대,0.009136827700256858
학습 지향 평균,문D1) 귀하께서는 작년에 평생교육 프로그램 관련 정보를 접한 적이 있습니까?,-0.009131353849246047
학습 지향 평균,지역규모별,-0.004676337650792058
학습 지향 평균,DQ6. 귀하께서는 건강에 자신 있습니까?_1,-0.004243848708334694
학습 지향 평균,월 가구소득,-0.0033977094219127466
학습 지향 평균,문E1-4) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 다른 사람들과 함께 공부 하는 것이 좋다.,0.003182551961508959
학습 지향 평균,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_1,0.0028908069793679115
학습 지향 평균,문F1-4) 다음 학습 관련 질문에 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__직장에서 필요로 하는 기술을 학교에서는 배울 수 없다.,-0.0026114885923777843
학습 지향 평균,문A3-3) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__교양 함양이나 지식 습득 등 자기 계발,-0.0024902618386691746
학습 지향 평균,DQ1. 귀하의 최종 학력은 어떻게 되십니까?__학교급,-0.0024086548654220627
학습 지향 평균,사회참여,-0.0023763319970733143
학습 지향 평균,문E1-2) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 인터넷강의 또는 컴퓨터(전자책^ 태블릿 PC^스마트폰)를 활용한 학습이 익숙하고 잘된다.,-0.002085186187003809
학습 지향 평균,문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.0019743475551072857
학습 지향 평균,DQ11. 귀하가 현재 소속되어 있는 직장의 규모는 어느 정도입니까? (사업장^ 상시근로자 기준),-0.001803605176455733
학습 지향 평균,취약계층,-0.0018005075553510694
학습 지향 평균,문A1-2) 참여한 프로그램 수는 몇개입니까? (5) 문화예술스포츠교육,0.0014053757595903643
학습 지향 평균,문C2) 귀하께서는 작년(교육이나 학습 프로그램의 참여여부와 관계없이)에 참여하고 싶었지만 참여하지 못했던 평생교육 프로그램이 있었습니까?,-0.0014038415279858684
학습 지향 평균,문A1-2) 참여한 프로그램 수는 몇개입니까? (3) 직업능력향상교육,-0.0012206935821535573
학습 지향 평균,문E1-1) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 책이나 판서 수업 중심으로 공부하는 것이 익숙하고 잘된다.,-0.0011722579465091739
학습 지향 평균,문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,-0.0011392773661527736
학습 지향 평균,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_4.0,-0.0011103217317537406
학습 지향 평균,DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,-0.0010165547616410196
학습 지향 평균,DQ3. 몇 명과 함께 지내고 있습니까?__명,-0.0009415832228585265
학습 지향 평균,만 연령,-0.00093831894254953
학습 지향 평균,문E1-3) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 혼자서 공부하는 것이 익숙하고 좋다.,0.0008212757040738501
학습 지향 평균,문A3-6) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__성과급^ 연봉 등 소득 증대,-0.0007243647007446824
학습 지향 평균,DQ6. 귀하께서는 건강에 자신 있습니까?_2,0.0006946485059982206
학습 지향 평균,문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.0006569298283609814
학습 지향 평균,문D1-1) 귀하께서는 평생교육 프로그램 관련 정보를 어떻게 얻으셨습니까? (중복응답)1,-0.0005412265532493774
학습 지향 평균,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_3.0,-0.0005257303345312937
학습 지향 평균,DQ2. 귀하께서는 자녀가 있으십니까? 있다면^ 귀하의 막내자녀는 현재 어떤 상태입니까?,-0.0005105081936800293
학습 지향 평균,DQ4. 귀하께서는 부양할 가족이 있습니까? (동거여부 무관),-0.0004998487586697553
학습 지향 평균,문A2-6) 연간참여시간__(3)직업능력향상교육_1,-0.0004815410652584528
학습 지향 평균,문A2-10) 프로그램만족도__(3)직업능력향상교육_1,0.00048119978997785356
학습 지향 평균,무형식학습 (암묵적 학습) 참여,0.0004230375623520006
학습 지향 평균,문A3-4) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__취업^ 이직^ 창업에 도움,0.0003781760937378854
학습 지향 평균,문A2-5) 참여목적__(3)직업능력향상교육_1,0.0003246963909028053
학습 지향 평균,문A2-1) 프로그램 유형__(3)직업능력향상교육_1,0.0003163517041892806
학습 지향 평균,DQ9-2. 귀하의 현재 근로시간형태는 어떻게 되십니까?,-0.00027540322417038643
학습 지향 평균,문A3-7) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__고용안정,-0.00025473901274238736
학습 지향 평균,문A1-2) 참여한 프로그램 수는 몇개입니까? (4) 인문교양교육,-0.00023507263264605725
학습 지향 평균,문A1-2) 참여한 프로그램 수는 몇개입니까? (6) 시민참여교육,-0.00021754198828821168
학습 지향 평균,DQ7. 귀하의 주된 소득원천은 무엇입니까?_3,-0.00019300712334029485
학습 지향 평균,DQ5. 귀하께서는 취학 전의 손자·손녀가 있습니까? (동거여부 무관),-0.0001684628918082877
학습 지향 평균,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_7.0,-0.0001432768964658125
학습 지향 평균,문A2-7) 자기부담학습비__(3)직업능력향상교육_1,0.00012809861572218452
학습 지향 평균,문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (4)인문교양교육,-0.00012646395321052825
학습 지향 평균,문A3-5) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__일하는데 필요한 기능 습득 등,0.00011695448180849634
학습 지향 평균,DQ9. 귀하의 현재 고용형태는 어떻게 되십니까?_2.0,0.00011462875327029381
학습 지향 평균,DQ6. 귀하께서는 건강에 자신 있습니까?_3,0.00010319402788720572
학습 지향 평균,DQ7. 귀하의 주된 소득원천은 무엇입니까?_1,9.718911258568957e-05
학습 지향 평균,무형식학습(의존형) 참여,9.526072770791868e-05
학습 지향 평균,DQ9-1. 귀하의 현재 종사상 지위는 어떻게 되십니까?,9.10103799421652e-05
학습 지향 평균,문A2-2) 프로그램 형태__(3)직업능력향상교육_1,-7.738024509141631e-05
학습 지향 평균,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_8.0,7.431188451781742e-05
학습 지향 평균,형식교육 참여자,-6.540930986209202e-05
학습 지향 평균,DQ7. 귀하의 주된 소득원천은 무엇입니까?_5,4.209171835232333e-05
학습 지향 평균,문A2-3) 기관 유형__(3)직업능력향상교육_1,-4.050229613247215e-05
학습 지향 평균,DQ9. 귀하의 현재 고용형태는 어떻게 되십니까?_1.0,-3.968764511686871e-05
학습 지향 평균,성별,-3.752200006584787e-05
학습 지향 평균,DQ1. 귀하의 최종 학력은 어떻게 되십니까?__상태구분_5.0,3.6715855553416446e-05
학습 지향 평균,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_2.0,3.612206649369848e-05
학습 지향 평균,DQ8. 귀하께서는 현재 수입을 목적으로 일하고 계십니까?,3.3809034174178327e-05
학습 지향 평균,DQ1. 귀하의 최종 학력은 어떻게 되십니까?__상태구분_3.0,-3.2012695415271725e-05
학습 지향 평균,Year,3.148327069915093e-05
학습 지향 평균,문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (3)직업능력향상교육,2.868081309441003e-05
학습 지향 평균,DQ3. 귀하께서는 함께 동거하는 가족이 있습니까?,2.5461092037734986e-05
학습 지향 평균,무형식학습(온라인) 참여,1.5254239525281843e-05
학습 지향 평균,DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__개월,-1.3928373686223344e-05
학습 지향 평균,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_1.0,8.982713359659676e-06
학습 지향 평균,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_9.0,7.105205296290249e-06
학습 지향 평균,DQ6. 귀하께서는 건강에 자신 있습니까?_4,4.182901783876625e-06
학습 지향 평균,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_5.0,3.511400604965602e-06
학습 지향 평균,연령별(1),-3.4571722839044153e-06
학습 지향 평균,문A1-2) 참여한 프로그램 수는 몇개입니까? (2) 성인기초 및 문자해득교육(문해교육),8.890641013354903e-07
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문E1-4) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 다른 사람들과 함께 공부 하는 것이 좋다.,-0.012317044615640855
