Feature,Importance,Contribution Range,Contribution Change (Linear Regression),Contbituion Change (Quantile Regression),Feature,Importance,Contribution Range,Contribution Change (Linear Regression),Contbituion Change (Quantile Regression)
학습 지향 평균,1.482745578621088,2.5881558484685816,8.725884827724691,0.0,DQ3. 몇 명과 함께 지내고 있습니까?__명,0.16561670509151888,0.35942294918931855,-1.0349674190785432,-0.0696793642259425
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.6168569172530758,1.6378009528538002,6.462496102766013,0.03160788843514956,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_1,0.10955420445764316,0.29950208479493046,-0.18616510123337887,-0.18616510123337887
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,0.6119528397745867,1.1224681712636895,1.9795660458015218,0.0,문D1-1) 귀하께서는 평생교육 프로그램 관련 정보를 어떻게 얻으셨습니까? (중복응답)1,0.021473877830673525,0.2596790044298524,-0.3760681223809418,0.008290328762344092
DQ6. 귀하께서는 건강에 자신 있습니까?_3,0.0,1.008839408821566,0.9808847673402951,0.9808847673402951,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_2.0,0.0,0.2536253732813592,-0.040532748281863526,-0.040532748281863526
DQ6. 귀하께서는 건강에 자신 있습니까?_1,-0.1168748785565566,0.745006385269664,0.7450063852696639,0.7450063852696639,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_1.0,0.0,0.2234851011422616,-0.0101867807635355,-0.0101867807635355
사회참여,0.10612233166848592,0.6621374509758656,0.6621374509758656,0.6621374509758656,문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.03715303242871,0.19830989796921844,-2.3280737190135716,-2.316238572049062
DQ6. 귀하께서는 건강에 자신 있습니까?_2,0.1022401631941323,0.6591579354475167,0.5344954352087654,0.5344954352087654,문A2-1) 프로그램 유형__(3)직업능력향상교육_1,0.0013006041879623435,0.19526190775805186,-0.2591791648291286,0.17552213833573438
직업관련 목표지향 평균,0.31579411926839296,0.6460264800900037,2.019117332620988,0.0,문A1-2) 참여한 프로그램 수는 몇개입니까? (4) 인문교양교육,0.05262042973029334,0.18481091914340408,-0.9089545239195873,-0.5334063810840759
문A3-9) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__친목도모 증진,0.2616856254197577,0.6096550240892913,0.9153370665826333,0.0,문A1-2) 참여한 프로그램 수는 몇개입니까? (2) 성인기초 및 문자해득교육(문해교육),-0.01743055422086693,0.16732452202058723,-0.18359931135557517,-0.1279809524372808
문D1) 귀하께서는 작년에 평생교육 프로그램 관련 정보를 접한 적이 있습니까?,0.25795225289347434,0.5711034713881187,0.5710594806692358,0.5710594806692358,문A3-6) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__성과급^ 연봉 등 소득 증대,-0.008838101700963592,0.16266625270933632,-0.15206044032745128,-0.0025265092100821493
