Algorithm,Dataset,RMSE,,,MSPE,,,MAE,,,MAPE,,,MedAE,,,MedAPE,,,R2,,
,,Baseline,Baseline+1,Baseline+1+2,Baseline,Baseline+1,Baseline+1+2,Baseline,Baseline+1,Baseline+1+2,Baseline,Baseline+1,Baseline+1+2,Baseline,Baseline+1,Baseline+1+2,Baseline,Baseline+1,Baseline+1+2,Baseline,Baseline+1,Baseline+1+2
Linear Regression,Train set,0.0073,0.0073,0.0073,37564.5117,34165.8580,34097.5704,0.0050,0.0050,0.0050,5.0612,5.0331,5.0270,0.0036,0.0036,0.0036,0.3704,0.3705,0.3702,0.6082,0.6107,0.6109
Linear Regression,Validation(CV),0.0073,0.0073,0.0073,38772.5216,37654.8065,37520.4764,0.0050,0.0050,0.0050,5.0617,5.0348,5.0285,0.0036,0.0036,0.0036,0.3704,0.3705,0.3704,0.6081,0.6106,0.6108
Linear Regression,Test set,0.7888,1484.6607,0.0085,66196662.2008,227368307390985.0000,17337.0895,0.7888,1484.6607,0.0059,348.2853,650965.5898,3.9822,0.7882,1484.6602,0.0041,73.4617,138845.1062,0.3638,-3870.4294,-13713463003.0000,0.5478
Linear Regression,Entire population,0.5578,1049.8137,0.0079,33117113.3562,113684153712575.0000,25717.3299,0.3969,742.3329,0.0054,176.6732,325485.3115,4.5046,0.4201,742.3564,0.0038,13.9188,14711.9705,0.3671,-2085.9536,-7395349032.0000,0.5790
Random Forest,Train set,0.0003,0.0008,0.0010,0.1944,0.2338,0.2750,0.0002,0.0004,0.0005,0.0224,0.0460,0.0624,0.0001,0.0002,0.0003,0.0109,0.0242,0.0341,0.9992,0.9955,0.9932
Random Forest,Validation(CV),0.0009,0.0011,0.0012,0.5778,0.7403,0.7027,0.0005,0.0006,0.0007,0.0606,0.0682,0.0789,0.0002,0.0003,0.0004,0.0259,0.0349,0.0415,0.9934,0.9906,0.9891
Random Forest,Test set,0.0024,0.0021,0.0024,6.7784,0.9240,1.1295,0.0015,0.0012,0.0014,0.2207,0.1269,0.1436,0.0009,0.0006,0.0007,0.0858,0.0640,0.0729,0.9641,0.9713,0.9651
Random Forest,Entire population,0.0017,0.0016,0.0018,3.4864,0.5789,0.7023,0.0008,0.0008,0.0010,0.1215,0.0865,0.1030,0.0003,0.0003,0.0005,0.0281,0.0389,0.0499,0.9803,0.9825,0.9781
XGBoost,Train set,0.0075,0.0048,0.0068,17218.9532,904.8061,12562.4288,0.0053,0.0033,0.0048,3.2385,1.0629,2.8226,0.0041,0.0021,0.0035,0.4191,0.2506,0.3680,0.5828,0.8277,0.6596
XGBoost,Validation(CV),0.0078,0.0049,0.0069,13989.9894,497.8335,10338.2215,0.0055,0.0033,0.0048,3.4419,0.9067,2.9896,0.0042,0.0022,0.0037,0.4311,0.2536,0.3793,0.5571,0.8232,0.6536
XGBoost,Test set,0.0088,0.0059,0.0081,4223.2590,89.6327,4295.3561,0.0061,0.0041,0.0057,2.7343,0.7070,2.6205,0.0045,0.0027,0.0041,0.3877,0.2646,0.3602,0.5209,0.7848,0.5941
XGBoost,Entire population,0.0082,0.0054,0.0075,10721.1061,497.2194,8428.8924,0.0057,0.0037,0.0052,2.9864,0.8850,2.7215,0.0043,0.0024,0.0038,0.4030,0.2576,0.3641,0.5518,0.8056,0.6262
LightGBM,Train set,0.0037,0.0045,0.0050,664.0568,893.4791,1436.8855,0.0026,0.0031,0.0035,0.8204,1.2019,1.4500,0.0017,0.0021,0.0024,0.2077,0.2492,0.2778,0.8965,0.8490,0.8149
LightGBM,Validation(CV),0.0039,0.0047,0.0052,485.2118,1449.2021,2644.7374,0.0027,0.0033,0.0036,0.8526,1.3577,1.6704,0.0018,0.0022,0.0025,0.2134,0.2618,0.2856,0.8891,0.8348,0.8000
LightGBM,Test set,0.0048,0.0057,0.0062,307.9518,444.5984,880.4172,0.0032,0.0039,0.0043,0.7952,1.0544,1.3438,0.0021,0.0025,0.0028,0.2126,0.2518,0.2752,0.8586,0.7992,0.7575
LightGBM,Entire population,0.0043,0.0051,0.0057,486.0043,669.0388,1158.6513,0.0029,0.0035,0.0039,0.8078,1.1282,1.3969,0.0019,0.0023,0.0025,0.2102,0.2506,0.2764,0.8766,0.8230,0.7850
CatBoost,Train set,0.0004,0.0006,0.0014,6.4533,3.3982,39.1815,0.0003,0.0004,0.0009,0.0658,0.0871,0.2468,0.0002,0.0003,0.0006,0.0228,0.0339,0.0717,0.9989,0.9971,0.9858
CatBoost,Validation(CV),0.0008,0.0009,0.0014,12.6165,87.3124,200.7664,0.0005,0.0005,0.0009,0.1028,0.1322,0.2935,0.0003,0.0003,0.0006,0.0333,0.0411,0.0733,0.9956,0.9944,0.9848
CatBoost,Test set,0.0022,0.0022,0.0024,4.9473,10.0915,42.9428,0.0014,0.0014,0.0016,0.1914,0.2166,0.3129,0.0008,0.0008,0.0010,0.0795,0.0836,0.1030,0.9702,0.9688,0.9653
CatBoost,Entire population,0.0016,0.0016,0.0019,5.7003,6.7448,41.0621,0.0008,0.0009,0.0013,0.1286,0.1518,0.2799,0.0004,0.0005,0.0008,0.0415,0.0523,0.0858,0.9834,0.9819,0.9748
MLP,Train set,0.0078,0.0076,0.0101,25335.7798,10401.5003,23364.9691,0.0054,0.0050,0.0071,3.2314,2.2617,4.2492,0.0040,0.0031,0.0050,0.4148,0.3497,0.4582,0.5514,0.5701,0.2484
MLP,Validation(CV),0.0078,0.0076,0.0101,5208.4858,2220.3819,8717.4554,0.0054,0.0050,0.0071,3.0608,2.1235,4.0851,0.0040,0.0031,0.0050,0.4152,0.3514,0.4600,0.5508,0.5707,0.2470
MLP,Test set,0.0093,0.0091,0.0115,4298.7801,2182.6806,9954.7340,0.0065,0.0062,0.0085,2.8936,2.2889,4.2521,0.0045,0.0040,0.0064,0.3978,0.3586,0.4736,0.4622,0.4794,0.1745
MLP,Entire population,0.0086,0.0084,0.0108,14817.2800,6292.0905,16659.8515,0.0060,0.0056,0.0078,3.0625,2.2753,4.2507,0.0042,0.0035,0.0057,0.4059,0.3539,0.4659,0.5058,0.5236,0.2127
CNN,Train set,0.0101,0.0101,0.0077,34492.6210,26259.2610,11811.5257,0.0072,0.0073,0.0050,4.5871,4.5889,1.5606,0.0051,0.0052,0.0030,0.4470,0.4593,0.3399,0.2549,0.2454,0.5591
CNN,Validation(CV),0.0101,0.0101,0.0077,9073.9494,9697.3023,472.3148,0.0073,0.0073,0.0050,4.3522,4.4194,1.3098,0.0051,0.0052,0.0030,0.4464,0.4624,0.3416,0.2545,0.2431,0.5588
CNN,Test set,0.0116,0.0119,0.0094,11126.2581,10520.4828,544.2072,0.0086,0.0089,0.0063,4.6192,4.6588,1.5704,0.0065,0.0065,0.0041,0.4581,0.4728,0.3462,0.1586,0.1168,0.4548
CNN,Entire population,0.0109,0.0111,0.0086,22809.4395,18389.8719,6177.8665,0.0079,0.0081,0.0056,4.6032,4.6239,1.5655,0.0057,0.0058,0.0035,0.4525,0.4659,0.3430,0.2071,0.1803,0.5053
