Algorithm,Dataset,RMSE,MSPE,MAE,MAPE,MedAE,MedAPE,R2
Linear Regression,Train set,0.007261340402431132,35547.70313828106,0.004993302888669934,5.189979384541473,0.0036160652772858353,0.369999615522037,0.6112103339890844
Linear Regression,Test set,0.00852185260533988,16994.740282514584,0.005883694888005033,3.953805064136548,0.004113560603383497,0.3633041509452728,0.5481849112480147
Linear Regression,Entire population,0.007718931108355151,29155.239989538695,0.0053000893619644445,4.764052870806551,0.0037757244669679494,0.36773399164343723,0.58915144777593
Random Forest,Train set,0.0001641220000151358,0.0013065794058846139,8.24741858035652e-05,0.008701659731362539,4.047006945528519e-05,0.004822594776300677,0.9998013837757855
Random Forest,Test set,0.0026278561632417856,0.4425904071416233,0.001374220479775699,0.1250635088624462,0.0006405533475517195,0.06459886132154073,0.9570368738847925
Random Forest,Entire population,0.001548226116868687,0.15335186882228208,0.0005275481422349975,0.04879438444992565,8.080144040105647e-05,0.009093548280347771,0.9834713946702688
XGBoost,Train set,0.0017999023751326222,545.0712250502548,0.0012238859866317833,0.33889355619426986,0.0008173034473990238,0.09697034852006989,0.9761120423635179
XGBoost,Test set,0.003145260747187315,38.95398552633287,0.0020588565259861678,0.3841207374454421,0.0013136472485836825,0.1284451281917111,0.9384531254339785
XGBoost,Entire population,0.0023520118416341528,370.68744453218494,0.0015115768770088685,0.35447667850832937,0.0009534624585194836,0.10650001233883159,0.9618542253255257
LightGBM,Train set,0.002385848422178019,701.1111541356814,0.0016237714585895498,0.3956079471760584,0.001090869801515888,0.1300834925156434,0.9580273086905742
LightGBM,Test set,0.0033531158322795797,67.27103119853781,0.0023189645535419967,0.44920851756162067,0.0015455125265402738,0.1534856608584434,0.93004966378121
LightGBM,Entire population,0.0027577020536093014,482.72018016730107,0.0018633017306701868,0.4140761386775998,0.0012231861874881398,0.13779846644820368,0.9475600684353492
CatBoost,Train set,0.0023343145244840574,841.8568456261316,0.0015858088545962297,0.47490235200322045,0.001071162080533294,0.12577058857480655,0.9598209314347543
CatBoost,Test set,0.003202674655799925,101.82178905624804,0.002221566595437486,0.46443224692716784,0.0015151751295316238,0.14646301323923322,0.9361856514848759
CatBoost,Entire population,0.002665645455102468,586.8761794825505,0.001804860547926832,0.47129485484050565,0.0011997209703290762,0.13256787403917225,0.9510026939902017
