Algorithm,Dataset,RMSE,MSPE,MAE,MAPE,MedAE,MedAPE,R2
Linear Regression,Train set,0.007674629198351208,32625.749901838928,0.005302787064715357,4.959412728762403,0.0038487728511953255,0.3694229667687465,0.5938063727039973
Linear Regression,Test set,0.007683498660900634,36868.45638959804,0.005302577401072245,5.465564768412848,0.0038475351847938313,0.36844348431738044,0.5931052637372756
Linear Regression,Entire population,0.0076764039150011495,33474.29325768805,0.005302745131885017,5.06064338224598,0.0038484570301301445,0.36921592348112153,0.593666089563753
Random Forest,Train set,0.0006473282404727957,0.05642774278282426,0.0003260092485760128,0.03304170371866439,0.0001645413921667093,0.018374543802580506,0.9971102025039237
Random Forest,Test set,0.0008659214662990935,0.08622418229762263,0.000446026584073961,0.0454116402616439,0.00022566552491954392,0.025242417093532886,0.9948320173872376
Random Forest,Entire population,0.0006965567014732239,0.06238704514116314,0.00035001277390054903,0.035515697028384134,0.00017504790634005878,0.019539652858653465,0.9966543509631636
XGBoost,Train set,0.005414814478233573,181.96267720471775,0.0036659068415263226,0.7598612898906925,0.002434793070291527,0.26569103965207963,0.7977979914608913
XGBoost,Test set,0.005413866920259806,157.81944109429895,0.0036649132267571115,0.7885065502850009,0.0024330169956694146,0.26583514098872907,0.7979870624330796
XGBoost,Entire population,0.005414624979444939,177.13401826983747,0.00366570811809044,0.7655903558664526,0.0024344493868030106,0.26571540961844387,0.7978358257914203
LightGBM,Train set,0.004752772095913266,534.6260631191869,0.0032995802052340957,1.046680820256793,0.0022502279832650037,0.2529691008648877,0.8442197912412793
LightGBM,Test set,0.004756396668935995,598.6225478217656,0.00330332195626621,1.1043251188087337,0.002255012762667598,0.2532099459682327,0.8440734160508502
LightGBM,Entire population,0.0047534972333775054,547.4253911068168,0.003300328557255785,1.0582097079326096,0.0022511967242665504,0.25302130656262045,0.8441905042133032
CatBoost,Train set,0.0016530942702755796,156.38979068977346,0.0010677381529648603,0.21451010672708606,0.000671659059152621,0.07632463047796091,0.9811542448848154
CatBoost,Test set,0.0016726418171579766,34.86444027533955,0.0010736890808083896,0.21855495800355973,0.000673191182352959,0.07673061852998549,0.9807172073023769
CatBoost,Entire population,0.0016570222371393418,132.0846616503451,0.0010689283414205863,0.215319078944691,0.0006719997850642197,0.07640900745400994,0.9810667964269795
