Algorithm,Hyperparameter,Tuning Range,Best Value
MLP,n_layers,User Fixed,2
MLP,l2_regularization,User Fixed,5.778308067118137e-05
MLP,batch_normalization,User Fixed,True
MLP,hidden_activation,User Fixed,relu
MLP,dropout,User Fixed,0.22995285759934425
MLP,batch_size,User Fixed,64
MLP,optimizer,User Fixed,sgd
MLP,learning_rate,User Fixed,0.0035533207696999457
MLP,first_layer_nodes,User Fixed,256
MLP,shape,User Fixed,constant
CNN,n_layers,User Fixed,2
CNN,l2_regularization,User Fixed,1.2551740494087498e-05
CNN,batch_normalization,User Fixed,False
CNN,hidden_activation,User Fixed,selu
CNN,dropout,User Fixed,0.1185068150880213
CNN,batch_size,User Fixed,64
CNN,optimizer,User Fixed,rmsprop
CNN,learning_rate,User Fixed,0.00047706982696525603
CNN,base_filters,User Fixed,16
CNN,kernel_size,User Fixed,7
